date,title,where,link
2021.05.05.,"EU 인구 4분의 1, 코로나19 백신 최소 1회 접종",한국일보,https://hankookilbo.com/News/Read/A2021050521100005223?did=NA
2021.05.04.,"유럽의약품청, 중국 시노백 코로나19 백신 동반심사 시작",MBC,https://imnews.imbc.com/news/2021/world/article/6169149_34880.html
2021.05.05.,"국민 10명 중 6명 ""백신 맞겠다""··· 가장 큰 이유는 '가족한테 코로나19 옮길까봐'",경향신문,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202105051107001&code=940601
2021.05.06.,"미 ""코로나19 백신 지식재산권 면제 지지…협상 시간 걸릴 것""",MBN,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00008&news_seq_no=4495426
2021.05.05.,"독일, 주말부터 코로나19 백신접종자 야간통금·모임제한 해제",MBC,https://imnews.imbc.com/news/2021/world/article/6169197_34880.html
2021.05.04.,"충남, AI로 코로나 백신 접종·이상 여부 확인",경향신문,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202105042123005&code=620112
2021.05.05.,"독일, 주말부터 코로나19 백신 접종자 야간 통금·모임 제한 해제",KBS,https://news.kbs.co.kr/news/view.do?ncd=5178424&ref=A
2021.05.05.,"바이든 ""7·4 독립기념일, 코로나에서 독립""…백신 속도전",JTBC,https://news.jtbc.joins.com/article/article.aspx?news_id=NB12003136
2021.05.04.,"은평, 두번째 코로나19 백신접종센터 연다",서울신문,https://www.seoul.co.kr/news/newsView.php?id=20210504500135&wlog_tag3=naver
2021.05.03.,"코로나 백신 지적재산권 면제 한걸음 더…미국, WTO와 논의",한겨레언론사 선정,http://www.hani.co.kr/arti/international/international_general/993600.html
2021.05.04.,"""알약·분무 형태 코로나19 '차세대 백신' 개발 박차""",YTN언론사 선정,https://www.ytn.co.kr/_ln/0104_202105040201347797
2021.05.05.,"""EU 인구 4분의 1 코로나19 백신 최소 1회 접종""",YTN,https://www.ytn.co.kr/_ln/0104_202105051726381100
2021.05.01.,"동두천 카투사 1명, 백신 접종 한 달 안돼 코로나19 확진",KBS언론사 선정,https://news.kbs.co.kr/news/view.do?ncd=5175908&ref=A
2021.05.04.,내일부터 코로나19 백신접종 완료자 자가격리 면제 가능,KBS,https://news.kbs.co.kr/news/view.do?ncd=5177826&ref=A
2021.05.06.,[이슈 완전정복] 백악관 코로나 백신 특허 일시 면제 지지...가능성과 효과는?,MBC,https://imnews.imbc.com/replay/2021/nw1400/article/6170463_34915.html
2021.05.04.,“알약·콧속 스프레이형 코로나 백신 나온다”,서울신문언론사 선정,https://www.seoul.co.kr/news/newsView.php?id=20210505012003&wlog_tag3=naver
2021.05.04.,"유럽의약품청, 중국 시노백 코로나19 백신 동반심사 시작했다",중앙일보,https://news.joins.com/article/olink/23645037
2021.05.06.,[코로나19 Q&A] 30세 이상 장병 57.9% 백신 접종,KBS,https://news.kbs.co.kr/news/view.do?ncd=5179176&ref=A
2021.05.06.,"[기업] NHN, 코로나19 백신 접종 휴가 이틀간 도입",YTN,https://www.ytn.co.kr/_ln/0102_202105061534490648
2021.05.04.,미국 생산 코로나19 백신 본격 방출…백악관 사실상 승인,SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1006306590&plink=ORI&cooper=NAVER
2021.05.04.,美 약국 체인점 코로나19 백신 13만 회분 폐기,YTN,https://www.ytn.co.kr/_ln/0104_202105041120020374
2021.05.04.,"70~74세 어르신 6일부터 코로나 백신접종, 예약하세요",한국일보,https://hankookilbo.com/News/Read/A2021050415100005209?did=NA
2021.05.05.,[뉴스터치] 코로나 백신 맞으면…걸그룹이 기념 도장,MBC,https://imnews.imbc.com/replay/2021/nwtoday/article/6169364_34943.html
2021.05.04.,코로나19 백신 1차 접종자 6만 6천여 명…신규 이상반응 신고 858건,KBS,https://news.kbs.co.kr/news/view.do?ncd=5177663&ref=A
2021.05.01.,"화이자 코로나 백신 맞은 80대, 돌연사",한국일보언론사 선정,https://hankookilbo.com/News/Read/A2021050117060003889?did=NA
2021.05.04.,[천자 칼럼] 백신 가뭄과 '코로나 회복력',한국경제언론사 선정,https://www.hankyung.com/opinion/article/2021050349491
2021.05.03.,"코로나19 신규 확진 488명…백신 신규 접종 1,561명",MBC언론사 선정,https://imnews.imbc.com/news/2021/society/article/6167158_34873.html
2021.05.05.,코로나19 백신 '맞겠다' 61.4%…전달보다 6.6%p 감소,MBN,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4495095
2021.05.04.,미국생산 코로나19 백신 해외공급 본격화 전망…백악관 사실상 승인,KBS,https://news.kbs.co.kr/news/view.do?ncd=5177780&ref=A
2021.05.01.,미국 인구 30%인 1억명 이상 코로나 백신 접종 완료,서울신문언론사 선정,https://www.seoul.co.kr/news/newsView.php?id=20210501500006&wlog_tag3=naver
2021.05.01.,"WHO, 모더나 코로나 백신 긴급승인…코백스 공급 가능",동아일보언론사 선정,https://www.donga.com/news/article/all/20210501/106705611/2
2021.05.01.,"WHO, 모더나 코로나 백신 긴급승인…코백스 공급 가능",동아일보언론사 선정,https://www.donga.com/news/article/all/20210501/106705611/2
2021.05.03.,"“백신접종 노력 덕”…집단면역 선언 이스라엘군, 코로나19 졸업 선언",서울신문언론사 선정,https://www.seoul.co.kr/news/newsView.php?id=20210503500165&wlog_tag3=naver
2021.05.01.,"얀센 백신 맞은 카투사, 한 달 안됐는데…코로나 확진 '초비상'",한국경제언론사 선정,https://www.hankyung.com/society/article/2021050184027
2021.05.06.,[서울포토]코로나19 백신접종 대상자 온라인 예약 개시,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20210506500095&wlog_tag3=naver
2021.05.03.,코로나19 신규 확진자 488명…오늘 2분기 백신 접종 계획 발표,경향신문언론사 선정,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202105030941001&code=940100
2021.05.04.,"“WHO, 러 ‘스푸트니크 V’ 코로나 백신 최종 평가 7월께 내릴 것”",중앙일보,https://news.joins.com/article/olink/23644987
2021.05.06.,美 무역대표부 “코로나19 백신 지식재산권 면제 지지”,KBS,https://news.kbs.co.kr/news/view.do?ncd=5179289&ref=A
2021.05.04.,"덴마크, AZ 이어 얀센 백신도 코로나19 접종 대상에서 제외",KBS,https://news.kbs.co.kr/news/view.do?ncd=5177392&ref=A
2021.05.04.,미얀마 국민들 “中 백신맞느니 코로나로 죽겠다”,동아일보언론사 선정,https://www.donga.com/news/article/all/20210504/106769130/1
2021.05.04.,미국서 생산하는 화이자 코로나19 백신 본격 방출…대상 국가는?,매일경제,http://news.mk.co.kr/newsRead.php?no=429544&year=2021
2021.05.04.,"유럽의약품청, 중국 시노백 코로나19 백신 동반심사 시작",YTN,https://www.ytn.co.kr/_ln/0104_202105042334569277
2021.04.30.,국산 코로나19 백신 개발 속도…내년 임상연구 완료,KBS언론사 선정,https://news.kbs.co.kr/news/view.do?ncd=5175118&ref=A
2021.05.04.,내일 화이자 코로나19 백신 21만8000명분 추가 도입,한국경제,https://www.hankyung.com/society/article/2021050473587
2021.05.04.,北노동신문 “코로나 백신 만능 해결책 아냐…방역전 장기화”,KBS,https://news.kbs.co.kr/news/view.do?ncd=5177616&ref=A
2021.05.04.,"덴마크, AZ 이어 얀센 코로나19 백신 접종 대상에서 제외",YTN,https://www.ytn.co.kr/_ln/0104_202105040200287213
2021.05.04.,경남서 코로나19 백신 접종 50대·70대男 잇따라 사망,한국경제,https://www.hankyung.com/life/article/2021050493197
2021.05.03.,“코로나 토착화될 것…독감처럼 백신 맞으며 함께 살아야”,서울신문언론사 선정,https://www.seoul.co.kr/news/newsView.php?id=20210503500078&wlog_tag3=naver
2021.05.05.,"이천시, 코로나 백신접종 두려움 '작은 연주회'로 위로",한국일보,https://hankookilbo.com/News/Read/A2021050509440001092?did=NA
2021.05.03.,"""코로나 완전종식 불가능…백신 맞아도 전파 막는데 한계""",한국경제,https://www.hankyung.com/society/article/2021050349891
2021.04.29.,국내 코로나19 백신 1차 접종 완료자 300만 명 돌파,KBS언론사 선정,https://news.kbs.co.kr/news/view.do?ncd=5174392&ref=A
2021.05.01.,"WHO, 모더나 코로나19 백신 긴급 승인…""예방 효과 94.1%""",한국경제언론사 선정,https://www.hankyung.com/international/article/2021050184337
