,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
11,그레이(gray) @신림,그레이(gray) @신림,2021-11-01T13:57:37.000Z,"그레이(gray) @신림
@gray_sillim
·
11월 1일","★영업시간 변경안내★
11월 1일부터 위드코로나로 인해 그레이를 좀 더 오래 만날 수 있게 되었습니다~!
퇴근 후 저녁식사부터 새벽 야식까지!! 그레이에서 해결하세요♡
.
.
.
...네 맞아요. 저희 술집이에요
7",,,,7,['https://pbs.twimg.com/media/FDHPYi0aIAAb_5H?format=jpg&name=small'],https://twitter.com/gray_sillim/status/1455172177972502536
12,새로운생활,@qwfGfnzGQuzK613,2021-11-01T12:05:10.000Z,"새로운생활
@qwfGfnzGQuzK613
·
11월 1일","그러게요 설명 잘해 놓셧네요 밖에서는 전염병 코로나  독감 감기 등 전염된 경우가 없다고 하는데  마스크 쓰게 하는건 한가지 이유 때문이지요 마스크 끼게 하고 거리 두기 해야 문재인을 구할수 있겟죠 그래야 방역을 핑계로 국민을 탄압하죠  멍청한 국민들은 저것도 파악못해서  마스크 쓰죠
la12 17
@k6119k11
 · 11월 1일
곰곰이 생각 해보슈..
1
5",,,1,5,"['https://pbs.twimg.com/profile_images/1383045770933194752/OK72gfeB_mini.jpg', 'https://pbs.twimg.com/media/FDGVcU4aIAAaJMq?format=jpg&name=small']",https://twitter.com/qwfGfnzGQuzK613/status/1455143879699668993
13,Grouchy Smurf (A.K.A. 투덜이 스머프),@SamSpadeInHell,2021-11-01T10:54:48.000Z,"Grouchy Smurf (A.K.A. 투덜이 스머프)
@SamSpadeInHell
·
11월 1일","편향적인 정치 방송에 출연금 줄이고..
쓸데없는 서울시 광고 줄여서 마련한 재원으로..
청년, 코로나 직격탄 맞은 소상공인 등등을 돕는데 쓰는게..
권력을 사유화 하는건가?
그런 사유화라면.. 얼마든지 찬성한다.. 
TBS는 교통방송 본연의 방송할때까지..
계속 줄여라..
미디어오늘
@mediatodaynews
 · 11월 1일
오세훈 서울시장이 TBS 출연금을 122억원 삭감하고 자신을 비판한 한겨레 광고를 중단하자 김영배 민주당 의원은 서울시민 세금으로 권력을 사유화하고 언론에 재갈물리기해도 되냐고 비판했습니다 
#오세훈 #서울시장 #TBS #TBS출연금삭감 #한겨레 #한겨레광고중단 #김영배
https://bit.ly/3pVLXiw
6
8",,,6,8,['https://pbs.twimg.com/profile_images/636213939211145217/158JLq-A_mini.jpg'],https://twitter.com/SamSpadeInHell/status/1455126170798723074
14,so picky,@so_picky,2021-11-01T13:36:04.000Z,"so picky
@so_picky
·
11월 1일","일본 도쿄도의 코로나19(COVID-19) 신규 확진자 수가 약 17개월 만에 한 자릿수를 기록했다. 1일 NHK 등에 따르면 이날 도쿄도에서는 9명의 코로나19 신규 감염자가 확인됐다. https://news.v.daum.net/v/20211101193137911… ㅎㅎㅎ 부럽다 
news.v.daum.net
'엉터리 통계' 日 믿어도 되나..도쿄 확진자 17개월만에 한자릿수
일본 도쿄도의 코로나19(COVID-19) 신규 확진자 수가 약 17개월 만에 한 자릿수를 기록했다. 1일 NHK 등에 따르면 이날 도쿄도에서는 9명의 코로나19 신규 감염자가 확인됐다. 도쿄의 일일 신규 확진자 수가 10명을 밑돈 것은 지난해 5월 31일 이후 처음이다. 연령대별로 30대의 감염자가 5명으로 가장 많았고, 10대 미만·40대·60대·70
5
3",😏,,5,3,['https://pbs.twimg.com/card_img/1460226886177472516/ya_y8fxZ?format=jpg&name=small'],https://twitter.com/so_picky/status/1455166752573169664
15,金在元,@sharkman1967,2021-11-01T13:54:00.000Z,"金在元
@sharkman1967
·
11월 1일","존스 홉킨스대학의 연구에 따르면, 코로나 바이러스 판데믹이 시작된 이후 전새계에서 500만명이 바이러스때문에 사망했다고 한다.
BBC Breaking News
@BBCBreaking
 · 11월 1일
More than five million people have died of Covid-19 worldwide since start of pandemic, according to Johns Hopkins University https://bbc.in/3bxwZXA
4
1",,,4,1,['https://pbs.twimg.com/profile_images/1150716997254209536/M7gkjsv5_mini.jpg'],https://twitter.com/sharkman1967/status/1455171267552628736
16,() 미니 사랑 미도뽀,@playlist_iksong,2021-11-01T14:58:04.000Z,"() 미니 사랑 미도뽀
@playlist_iksong
·
11월 1일","일단 1차로 제가 포카 보내드리기로 한 분들께 디엠 드렸어요 !! 혹시 못 받으신 분 계시면 따로 디엠이나 멘션 주세요 !!

 받으신 분들도 흔적 부탁드립니다 !!!! 

3주차 2차 추첨도 할 것 같은데 아마 내일 코로나 결과 여부에 따라 달라질 것 같아요 죄송합니다 
7
2
20",❄ 🥺 🥺 😭,7,2,20,[],https://twitter.com/playlist_iksong/status/1455187389207310342
17,십사,@lnanwha,2021-11-01T14:47:59.000Z,"십사
@lnanwha
·
11월 1일","근데 원래는 해주면 안되는게 맞음.. 
구단 비관계자(팬분)이랑 접촉했다가 코로나 감염되면 접촉 경로를 파악하기 힘들기 때문에...ㅎㅎㅎ 그래도 선수도 팬들이 있기에 힘을 내고 이 시국에 힘들게 발걸음 해주신 걸 알기 때문에 다 해주는 거지만
5
5",🧡,,5,5,[],https://twitter.com/lnanwha/status/1455184854224498696
18,Jo멜렁¬,@urur_heart,2021-11-01T16:52:42.000Z,"Jo멜렁¬
@urur_heart
·
11월 2일","어제의 느낀점

나나코 비비의 조합.. 왠지 새로워
최후미 팻말의 존재를 잊고 살았던 요즘
코로나 풀리면 도게자나이 할때 진짜 오타들 밟고다니려나
포토북 안 산사람 평생 후회할것
서울시 마포구 동대구역 합정 프리즘홀
13",,,,13,[],https://twitter.com/urur_heart/status/1455216237940641802
19,매일노동뉴스,@kdln6900,2021-11-01T22:40:00.000Z,"매일노동뉴스
@kdln6900
·
11월 2일","코로나 19로 일거리는 줄었는데 돌봄노동은 급증했답니다. 코로나19에도 여성들의 독박돌봄은 계속됐습니다.
labortoday.co.kr
[코로나19 이후 여성노동자] 일주일 노동 1.6시간 줄었는데 돌봄은 6.7시간 늘어 - 매일노동뉴스
코로나19가 장기화하면서 여성노동자의 돌봄 부담이 늘어나고 있다. 자녀돌봄으로 인한 일·가정 양립의 어려움은 여성의 노동시장 이탈 가능성을 높이는 요인으로 작용하고 있다. 자녀돌봄에 따른 불이익을 해소...
2
4",,,2,4,['https://pbs.twimg.com/card_img/1460470716080418826/I_t_dPcP?format=jpg&name=240x240'],https://twitter.com/kdln6900/status/1455303638125924355
20,김이랑,@irangrang__,2021-11-01T22:49:22.000Z,"김이랑
@irangrang__
·
11월 2일","우리 학교기 위드 코로나 때문에 비말마스크 끼지 말라함 근데 내 마스크가 비말처럼 생긴 KF94거든? 벌써부터 설명하기 귀찮다
11",,,,11,[],https://twitter.com/irangrang__/status/1455305995807195136
